Date,Open,High,Low,Close
May-10,41.4,43.48,35.36,41.81
Apr-10,37.02,46.61,36.35,42.14
Mar-10,36.34,44.3,36.34,36.92
Feb-10,41.99,42.88,35.14,37.99
Jan-10,39.38,46.31,37.54,42.42
Dec-09,38.24,40.2,36.65,39.31
Nov-09,33.37,42.74,30.41,37.76
Oct-09,34.07,35.41,31.42,33.37
Sep-09,25.85,38.97,24.49,33.84
Aug-09,23.31,30.06,21.26,25.52
Jul-09,22.63,25.31,20.25,23.11
Jun-09,23.81,25.01,18.61,22.47
May-09,23.35,25.31,20.01,23.21
Apr-09,18.47,26.51,18.47,22.19
Mar-09,16.97,21.28,15.19,20.16
Feb-09,17.42,22.49,15.79,17.23
Jan-09,17.6,22.57,15.32,17.41
Dec-08,14.74,20.85,11.76,18.11
Nov-08,21.34,21.34,14.05,14.89
Oct-08,24.59,26.51,16.38,18.02
Sep-08,25.46,27.96,21.08,25.01
Aug-08,22.04,28.29,21.8,24.51
Jul-08,22.93,24.25,19.97,21.97
Jun-08,26.51,26.51,22.09,23.36
May-08,28.29,28.99,23.83,25.07
Apr-08,32.73,32.73,27.43,28.07
Mar-08,27.9,34.25,25.36,32.91
Feb-08,27.33,32.76,23.83,32.19
Jan-08,34.25,36.69,23.53,26.91
Dec-07,28.37,35.44,25.73,34.3
Nov-07,28.03,32.76,26.8,29.01
Oct-07,32.76,33.95,26.51,28.61
Sep-07,28.29,33.42,27.75,32.91
Aug-07,25.21,30.35,23.63,28.62
Jul-07,24.79,27.19,23.42,25.43
Jun-07,25.79,25.79,22.45,24.11
May-07,22.03,30.13,19.85,24.61
Apr-07,20.85,22.83,20.05,21.84
Mar-07,20.85,23.82,19.85,21.3
Feb-07,21.84,22.23,20.07,21.01
Jan-07,21.46,22.63,20.65,21.84
Dec-06,21.25,23.67,19.85,21.78
Nov-06,20.65,21.62,18.06,20.34
Oct-06,19.75,20.63,17.87,18.61
Sep-06,17.76,20.05,16.67,19.55
Aug-06,16.12,18.24,14.29,17.53
Jul-06,16.93,17.97,15.91,16.27
Jun-06,18.57,18.76,13.99,17.32
May-06,20.84,21.63,16.19,18.25
Apr-06,22.03,22.53,20.1,20.53
Mar-06,17.07,21.34,15.55,20.95
Feb-06,15.68,17.47,14.77,16.89
Jan-06,16.78,17.07,15.71,15.89
Dec-05,16.27,18.06,16.08,16.69
Nov-05,15.68,17.55,14.88,16.08
Oct-05,17.85,18.05,14.91,15.29
Sep-05,16.13,19.46,15.33,17.03
Aug-05,15.89,16.85,14.49,16.44
Jul-05,14.19,16.64,14.1,15.89
Jun-05,13.08,15.68,11.35,14.27
May-05,11.91,13.89,11.54,12.96
Apr-05,11.93,14.89,10.91,11.78
Mar-05,13.05,14.39,10.32,11.84
Feb-05,12.24,14.42,12.24,12.85
Jan-05,14.85,15.19,11.53,12.18
Dec-04,12.31,13.8,10.75,13.8
Nov-04,10.74,13.23,10.48,12.23
Oct-04,9.99,11.11,9.06,10.71
Sep-04,8.19,10.18,8.19,9.97
Aug-04,6.01,8.21,5.92,7.99
Jul-04,5.59,6.88,5.23,5.89
Jun-04,6.16,6.16,4.37,5.45
May-04,6.34,6.35,4.46,5.14
Apr-04,6.55,7.39,5.99,6.29
Mar-04,7.22,7.99,6.23,6.43
Feb-04,7.68,8.65,6.99,7.25
Jan-04,8.47,9.74,6.99,7.58
Dec-03,7.27,9.77,7.27,8.32
Nov-03,5.27,7.91,5.03,7.17
Oct-03,5.4,6.06,4.61,5.05
Sep-03,5.03,5.72,4.61,5.19
Aug-03,5.03,5.79,4.83,5.14
Jul-03,4.34,5.35,4.08,5.08
Jun-03,3.84,4.61,3.73,4.35
May-03,2.39,4.1,2.28,3.81
Apr-03,1.59,2.49,1.59,2.39
Mar-03,1.72,1.75,1.48,1.55
Feb-03,1.78,1.83,1.5,1.75
Jan-03,1.37,2.01,1.37,1.67
Dec-02,1.51,1.53,1.27,1.4
Nov-02,1.32,1.57,1.19,1.45
Oct-02,1.18,1.33,1.12,1.29
Sep-02,1.39,1.39,1.19,1.2
Aug-02,1.15,1.4,1.15,1.37
Jul-02,1.43,1.79,1.19,1.19
Jun-02,1.2,1.58,1.19,1.36
May-02,1.32,1.44,1.1,1.2
Apr-02,1.23,1.36,1.13,1.32
Mar-02,1.33,1.34,1.14,1.27
Feb-02,1.25,1.41,1.23,1.28
Jan-02,1.21,1.42,1.21,1.25
Dec-01,1.39,1.43,1.19,1.19
Nov-01,1.51,1.52,1.36,1.36
Oct-01,1.52,1.54,1.35,1.43
Sep-01,1.39,1.44,1.35,1.43
Aug-01,1.53,1.55,1.33,1.39
Jul-01,1.44,1.55,1.33,1.55
Jun-01,1.17,1.52,1.1,1.44
May-01,1.4,1.43,1.14,1.17
Apr-01,1.61,1.87,1.45,1.48
Mar-01,1.78,1.91,1.39,1.63
Feb-01,1.53,1.99,1.52,1.73
Jan-01,1.67,1.67,1.39,1.63
Dec-00,1.65,1.91,1.49,1.58
Nov-00,0.85,2.12,0.83,1.65
Oct-00,0.88,0.94,0.71,0.83
Sep-00,0.8,0.93,0.74,0.93
Aug-00,0.55,1.04,0.52,0.82
Jul-00,0.55,0.69,0.55,0.55
Jun-00,0.47,0.62,0.47,0.55
May-00,0.51,0.51,0.44,0.44
Apr-00,0.58,0.6,0.48,0.49
Mar-00,0.7,0.73,0.48,0.58
Feb-00,0.53,0.87,0.53,0.73
Jan-00,0.52,0.65,0.48,0.57
